#REFERENCE 3 24.1631451 0.1384420
B1 0.159 0.134 0.200 0.011 145.59 1.000 3.17 1.161 -2.988 3.34 -0.17
B1 0.159 0.134 0.200 0.011 145.59 1.000 3.17 -2.702 -1.165 2.24 0.93
B1 0.159 0.134 0.200 0.011 145.59 1.000 3.17 0.515 3.409 2.05 1.11
B1 0.159 0.134 0.200 0.011 145.59 1.000 3.17 2.678 -1.802 3.17 0.00
B2 0.160 0.132 0.200 0.009 109.65 1.000 3.32 -2.706 -1.154 2.23 1.09
B2 0.160 0.132 0.200 0.009 109.65 1.000 3.32 2.691 -1.785 3.15 0.17
B2 0.160 0.132 0.200 0.009 109.65 1.000 3.32 0.517 3.407 2.06 1.27
B2 0.160 0.132 0.200 0.009 109.65 1.000 3.32 1.153 -2.992 3.32 0.00
B3 0.162 0.133 0.200 0.026 21.80 1.000 2.22 1.214 -2.969 3.38 -1.15
B3 0.162 0.133 0.200 0.026 21.80 1.000 2.22 2.666 -1.824 3.21 -0.99
B3 0.162 0.133 0.200 0.026 21.80 1.000 2.22 0.534 3.406 2.06 0.17
B3 0.162 0.133 0.200 0.026 21.80 1.000 2.22 -2.704 -1.153 2.22 0.00
