#REFERENCE 3 29.6033670 -0.6666288
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
    B1     1.079    -3.834     3.982     0.770     1.208     1.883     0.623      0.69    -648.9       0.0    ++
    B1     3.344    -1.051     3.505     0.612     0.774     1.774     1.267      0.62   -1424.1    -775.2    +-
    B1     3.168     2.271     3.898     0.000     0.000     1.973     0.684      0.74    -647.2       1.7    ++
    B2     2.763     2.004     3.413     0.618     0.785     2.455     1.930      0.98    -466.8     182.1    ++
    B2     0.433    -4.156     4.178     0.554     0.665     1.615     0.423      0.52    -537.8     111.1    ++
    B2     3.138    -0.522     3.181     0.000     0.000     1.520     0.710      0.45   -1212.6    -563.7    +-
    B3     2.776     2.362     3.645     0.688     0.949     1.980     0.825      0.74    -471.3     177.6    ++
    B3     3.097    -0.849     3.211     0.492     0.566     1.370     0.726      0.34   -1275.2    -626.3    +-
    B3     0.584    -3.886     3.930     0.000     0.000     1.738     0.549      0.60    -500.6     148.3    ++
