#e 	e_err	theta	theta_err	sigma	sigma_err	sys
0.11	0.008	9.28	1.3	440.58	1.40	1
0.08	0.12	4.90	24.95	434.59	2.96	1
0.32	0.06	6.41	1.27	442.03	3.26	1
0.51	0	164.1	0	524	0	2
0.51	0	164	0	525	8.9	2
0.51	0.012	163.3	0.4	529	1	2
0.24	0.06	52.96	4.32	476.63	2.39	3
0.26	0.06	51.30	6.01	475.24	2.35	3
0.26	0.06	53.01	4.52	476.97	2.46	3
0.44	0.04	5.85	15.91	390.63	2.51	4
0.47	0.04	7.24	11.36	384.11	2.62	4
0.26	0.07	3.51	14.46	381.19	2.76	4
