chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
 0     B4 1.000   1      0.01    0.00    0.00    0.00   0.005    0.02    0.01   -0.01  0
 0     B3 1.000   1      0.01    0.00    0.00    0.00   0.014    0.02    0.00   -0.02  0
 0     B2 1.000   1      0.03    0.00    0.00    0.00   0.019    0.03   -0.03    0.01  0
 0     B1 1.000   1      0.04    0.00    0.00    0.00   0.017    0.04   -0.04    0.01  0
 0     B4 1.000   4      0.09    0.00    0.00    0.00   0.015    0.03    N/A     N/A   0
chimul                   0.09    0.00    0.00    0.00   0.015    0.03    N/A     N/A   0
log(Likelihood)          5.48

chitot           0.09
log(Likelihood)    5.48
