#REFERENCE 3 318.8635275 -0.6380758
B1 0.074 -0.213 0.200 0.041 75.44 1.000 1.72 -1.876 1.128 2.29 -0.57
B1 0.074 -0.213 0.200 0.041 75.44 1.000 1.72 1.958 -1.645 1.49 0.22
B1 0.074 -0.213 0.200 0.041 75.44 1.000 1.72 -1.883 -1.156 1.82 -0.10
B1 0.074 -0.213 0.200 0.041 75.44 1.000 1.72 0.451 1.923 1.72 -0.00
B2 0.053 -0.188 0.200 0.027 144.17 1.000 2.18 -1.797 -1.297 1.71 0.47
B2 0.053 -0.188 0.200 0.027 144.17 1.000 2.18 0.581 1.904 1.69 0.49
B2 0.053 -0.188 0.200 0.027 144.17 1.000 2.18 1.951 -1.602 1.54 0.64
B2 0.053 -0.188 0.200 0.027 144.17 1.000 2.18 -1.862 1.202 2.18 -0.00
B3 0.084 -0.192 0.200 0.042 32.26 1.000 1.71 -1.767 1.282 2.27 -0.57
B3 0.084 -0.192 0.200 0.042 32.26 1.000 1.71 2.009 -1.569 1.50 0.20
B3 0.084 -0.192 0.200 0.042 32.26 1.000 1.71 0.434 1.951 1.81 -0.10
B3 0.084 -0.192 0.200 0.042 32.26 1.000 1.71 -1.832 -1.202 1.71 -0.00
B4 0.071 -0.191 0.200 0.050 143.96 1.000 1.51 0.498 1.931 1.75 -0.24
B4 0.071 -0.191 0.200 0.050 143.96 1.000 1.51 -1.822 -1.238 1.71 -0.20
B4 0.071 -0.191 0.200 0.050 143.96 1.000 1.51 -1.814 1.239 2.23 -0.72
B4 0.071 -0.191 0.200 0.050 143.96 1.000 1.51 1.983 -1.586 1.51 -0.00
