#REFERENCE 3 318.8635275 -0.6380758
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
    B1    -1.876     1.128     2.189     0.998    17.923     8.449     4.583      2.32    -326.4       0.0    ++
    B1     1.958    -1.645     2.557     0.993     8.298     4.231     1.263      1.57    -470.5    -144.1    ++
    B1    -1.883    -1.156     2.210     0.990     6.919     6.803    13.657      2.08    -452.6    -126.1    +-
    B1     0.451     1.923     1.975     0.000     0.000     5.467    26.963      1.84    -446.9    -120.5    +-
    B2    -1.797    -1.297     2.216     0.998    16.125     7.393   148.807      2.17    -464.6    -138.1    +-
    B2     0.581     1.904     1.990     0.998    16.030     5.100    11.872      1.77    -462.5    -136.1    +-
    B2     1.951    -1.602     2.524     0.536     0.635     4.438     1.425      1.62    -458.3    -131.9    ++
    B2    -1.862     1.202     2.217     0.000     0.000     7.447     3.198      2.18    -338.1     -11.7    ++
    B3    -1.767     1.282     2.183     0.998    17.599     8.313     4.327      2.30    -328.2      -1.8    ++
    B3     2.009    -1.569     2.549     0.993     8.298     4.258     1.280      1.57    -468.8    -142.4    ++
    B3     0.434     1.951     1.999     0.989     6.555     5.829     9.749      1.91    -455.0    -128.6    +-
    B3    -1.832    -1.202     2.191     0.000     0.000     5.833    10.238      1.91    -448.7    -122.3    +-
    B4     0.498     1.931     1.994     0.994     8.973     5.486    14.121      1.85    -458.1    -131.7    +-
    B4    -1.822    -1.238     2.203     0.993     8.636     5.979    15.454      1.94    -455.5    -129.1    +-
    B4    -1.814     1.239     2.197     0.587     0.725     7.917     3.760      2.25    -332.0      -5.5    ++
    B4     1.983    -1.586     2.539     0.000     0.000     4.327     1.335      1.59    -464.6    -138.1    ++
