,galaxies_lens_mass_centre_0,galaxies_lens_mass_centre_1,galaxies_lens_mass_elliptical_comps_0,galaxies_lens_mass_elliptical_comps_1,galaxies_lens_mass_einstein_radius,galaxies_source_point_0_centre_0,galaxies_source_point_0_centre_1
0,-0.04625955793554881,0.17782979267582272,0.3311700352877908,0.0009036779967126023,7.8545295443696235,-0.0884677704662823,-0.11927089370701838
1,-0.027915121120122392,0.20521824938342437,-0.1429117778186818,-0.2358268070306281,7.41004145545615,0.004765687462937713,-0.04817098683990903
2,0.16760678193706138,0.030538215446251227,-0.14200637102227473,-0.3809255638047563,7.99373382310188,-0.11161445734960904,-0.6537733485416767
3,0.05057866641827393,-0.14300193690455199,-0.07687397619013736,-0.4110035199287102,7.973190807677812,-0.2435972551525915,-0.4755373612128977
4,0.1342148631333422,-0.12665813322044361,0.4140153556100663,-0.26593270241605316,7.887837396146408,0.09017088359512211,0.101175300789741
5,-0.043766901981185026,0.014578776816389968,-0.36584577288482345,-0.056319120246048564,7.334902363752047,-0.16809411177476072,-0.3597201926153177
6,-0.21954374081713712,-0.15362488731799462,-0.050182397936304045,-0.1890306201023347,5.839698782129957,0.052138920771538394,0.19473126569177643
7,0.07836543645689033,0.06597906581767048,-0.17079358497168545,0.3741739369035346,6.794458169406024,0.7974275676129156,0.39751071771415986
8,-0.2620578681104968,-0.12772285815257847,0.32786312017490893,0.37044757120696553,6.373111059143746,0.4140793140580162,-0.03627728146947834
9,0.04514871614088288,0.16284273949798508,0.5782572161223339,-0.10850457209925964,7.131816723648494,0.22556342216006525,-0.25058266970315857
10,0.006784006314877726,0.0913045993643367,0.29107395596280433,0.10518829162812766,5.50582423090332,-0.11436612077056435,-0.033862672186595125
11,-0.1423028898357863,0.05044230203407805,-0.510357862758581,0.2604158629196252,7.531516469484008,-0.015023882887650716,-0.051478502253933314
12,0.17593770132075395,-0.043132685997815716,-0.1339902173967733,-0.2172504163188224,4.89822478035717,-0.06842892233285973,0.8051199169116375
13,-0.03295265087330852,0.10634913763898567,-0.17915456134626248,-0.1087089528467914,4.9413217230879525,-0.2792142219352283,0.46402340182262836
14,0.014332205851868694,0.1513312542931854,-0.22699254428839388,-0.2152664895985724,4.540905252755298,0.3587761681120067,-0.32469958981454855
15,-0.038943878274412196,0.08713144241204662,-0.29154595763518,0.13875115716369735,4.500324669306462,0.25446574783005305,0.4888744137674548
16,0.054869060702363824,0.016518482822372112,-0.10815418658815547,0.20028452006365322,0.05976459548636548,-0.1813349810572902,-0.5153549898243002
17,-0.19254306378267466,0.10155274485113132,-0.045925260605939516,0.4624260869523158,4.986450073614603,-0.24339307526016704,0.04320201020029088
18,-0.08016889246699958,-0.09722027790654479,-0.20976884303515786,0.06248261617583179,0.056107618180421426,-0.3141926718925666,-0.20565489716589505
19,0.2173871260870114,0.0713768454205431,0.14027244277647075,-0.9558982799742916,1.3161643726543986,-0.09592715424155586,0.21318787295683123
20,-0.15650539781363443,0.10991677937973356,0.4201589676411481,-0.0517725681949268,0.22406630174002728,-0.4021653516418726,-0.11497052000693707
21,-0.126996166468032,0.05657674836224826,-0.6942350169957372,-0.11261688958537881,7.468659698867382,0.06791553887230366,-0.03550182734364123
22,0.05585979611999746,0.039614824157882575,-0.03558183209429302,0.09287289756717017,0.5205869847662781,0.19923553121188237,0.15368164083271046
23,-0.08251485468418916,-0.08618732486011772,0.13170651839802763,0.22464327113967159,0.8426031232415943,0.4342562954042323,0.3852550077346764
24,-0.0812435797434175,0.13859973773272308,-0.1085905800023364,0.0400434409576405,0.24279979186021894,0.08474070920335383,-0.39335939886422605
25,0.08900516999594923,0.06016770925668234,0.11237420866630704,-0.01526868097201698,0.5958623608707452,0.3618169539327196,0.107604824956308
26,0.10711726333161681,0.09026162845845942,-0.0823811129186419,-0.1649605059062781,0.26789243175836663,-0.19314083748695365,-0.5051616416672274
27,0.1078817956875521,0.045853225611487955,0.12562976639726994,-0.03984331775577793,0.3197030647083947,-0.26216382395598686,-0.6692321592490261
28,0.16024709848243204,-0.06218451267598488,-0.22383914918260558,0.42390554594677754,4.2409557579796875,0.580373455208131,-0.10640075004278526
29,0.08801290774708305,0.2720853935254525,0.45429880033190007,0.5018419963386489,7.369228663284057,0.014700171603785254,0.6081250428483712
30,-0.02700559178624485,0.14918691699879127,-0.2875277504284877,0.0686185036163621,3.8457110508359946,-0.3996491750877241,-0.14670990979608958
31,-0.03658286550443443,-0.00012916672982626545,0.2159728068530039,0.30951337862864353,3.4507595873756767,0.3855246409643035,0.02569509027549337
32,-0.037459977736808654,-0.13138566061272638,-0.1277876486705558,0.041530648366065355,1.5907044089775022,-0.481336221006513,0.07377763176422034
33,-0.0704710205124217,-0.22418680512784642,-0.11154831532110522,0.2866218351386764,0.9673057783532775,-0.38342093181097703,-0.13085633779777292
34,-0.000240488112787019,0.12710341302080463,0.44854870978488154,-0.09531191433874095,1.1657740571025812,0.38263704228327006,-0.07371074118627328
35,0.012533353074244172,0.052041856403782595,-0.10144782274006578,0.07533410813829741,3.663688726442781,-0.03427158794063442,-0.10772212763410832
36,0.11618514929231732,0.07850576390787571,-0.11602990985660286,-0.24579740565945454,1.416942228538665,0.13472484342083024,-0.49555615663260605
37,-0.04990407283490373,-0.06493248838942091,-0.08755380494248884,0.30211748994954724,3.5061943918121825,-0.004598256944009711,0.0186153410380715
38,-0.02335726307740318,-0.16458909093273422,0.20521922900387646,0.47577599066970294,1.0885419100007105,0.06692170691704276,-0.3642313981511717
39,-0.10831866588492559,0.13955679825654688,0.11436562614687913,0.006684720483814088,2.51818666519143,0.04663155662740418,0.5380616317071701
40,0.01145169272244159,0.02832547849616119,0.3270254050454837,-0.09549492253160331,1.9484693054295406,0.44167137966023007,-0.030914223355385788
41,0.1375737420319693,0.1599525109624216,0.4629496877593203,0.028754616118384403,0.99126097757068,0.20990275644857848,0.13346217433835653
42,-0.15831266913534617,0.12416936789219796,0.17742641548829832,0.46528994518528327,3.1704794045143982,-0.6235847369208528,-0.27649955035365814
43,0.08652878179872098,0.03803336467299398,-0.2858686141173291,-0.077305836278819,0.9175053481968476,0.013324477674182796,-0.0202255748230182
44,-0.15494115268206177,0.0483903940894031,0.27661687267097346,0.2496794695611429,1.0506874720142196,-0.3098798817344571,0.1599080806057962
45,0.02841688750360783,0.22235207025054857,0.01524579170604726,0.37981275738674153,3.240057670277981,0.4203984867012412,0.3228412676278993
46,-0.010177542678613972,0.04972626723751958,0.12696645758416786,0.46779796563305087,1.8788155474113255,-0.31787564324249273,0.6216529937204714
47,0.02260987776377667,-0.10688090713454926,-0.1750413448194634,-0.019850895857196724,2.8867135007685336,-0.04274527987353196,-0.5494691025386533
48,0.16781419820102958,0.2152299548954255,0.17317514455315539,-0.446365742552567,1.234305535933208,0.18080195590785184,-0.20705803726748379
49,-0.006040867901195784,-0.23243392357497258,0.6917903816410337,0.08820302613267224,1.441009434269927,-0.2728885268351703,0.09857213966995954
50,-0.06461170093570362,0.01653409978596595,0.13817470541071447,0.0714219339794414,2.5066792462624994,0.002328500009009181,-0.17606248470460292
51,-0.13854184085171067,0.12483644395823029,0.04916985976256642,-0.3212286690146302,2.6993393801236216,-0.0244706445432217,-0.2808012066392663
52,-0.09648167871945995,-0.07835241051861581,0.30723135392037,0.0075286400250464324,1.2457638637520256,-0.011531994148141354,0.16485807587183798
53,0.003975981669325839,-0.026126986106700435,-0.00972686312588611,0.5356821139960641,2.399494105877751,-0.23615038517336498,-0.2607474487320447
54,-0.10779453147663356,0.048452323488552905,-0.3242036120002146,0.02639178855154038,1.3747049790588024,0.26529097694125486,0.16328985369858942
55,-0.0586997474415684,-0.020752799314515305,0.029350145309761752,0.41163997835882715,1.6694906759073165,0.5023316603790926,-0.2222957139168534
