#REFERENCE 3 318.8635275 -0.6380758
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
    B1    -1.897     1.274     2.285     0.819     1.429     2.781     0.536      1.11      83.6       0.0    ++
    B1     3.726    -2.794     4.657     0.497     0.572     1.477     0.081      0.42    -803.0    -886.6    ++
    B1    -1.782    -1.208     2.153     0.227     0.233     1.040     0.160      0.04    -575.0    -658.5    +-
    B1     0.451     1.923     1.975     0.000     0.000     1.133     0.244      0.14    -581.9    -665.5    +-
    B2    -1.807    -1.126     2.129     0.846     1.588     1.135     0.186      0.14    -525.6    -609.1    +-
    B2     0.374     1.894     1.930     0.845     1.580     1.184     0.259      0.18    -524.2    -607.8    +-
    B2     3.771    -2.852     4.728     0.594     0.739     1.466     0.079      0.42    -832.2    -915.7    ++
    B2    -1.863     1.202     2.217     0.000     0.000     2.955     0.632      1.18     112.9      29.4    ++
    B3    -1.969     1.162     2.286     0.829     1.481     2.802     0.546      1.12      84.3       0.8    ++
    B3     3.689    -2.856     4.665     0.524     0.615     1.476     0.081      0.42    -805.8    -889.4    ++
    B3     0.457     1.875     1.930     0.246     0.254     1.060     0.224      0.06    -562.3    -645.9    +-
    B3    -1.832    -1.202     2.191     0.000     0.000     1.125     0.180      0.13    -585.0    -668.6    +-
