#REFERENCE 3 24.1631451 0.1384420
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
    B1     0.502     3.432     3.469     1.000    33.736     5.820     0.639      1.91    -351.1       0.0    ++
    B1     1.670    -2.806     3.266     0.999    30.688    19.529     3.289      3.23    -287.7      63.4    ++
    B1    -2.690    -1.156     2.928     0.999    24.771     5.973     0.911      1.94    -309.1      42.1    +-
    B1     2.678    -1.802     3.228     0.000     0.000    21.003     4.491      3.31    -335.3      15.9    +-
    B2    -2.596    -1.455     2.976     1.000    41.756     7.616     1.291      2.20    -308.4      42.8    +-
    B2     2.578    -1.822     3.157     1.000    33.004    14.862     2.220      2.93    -317.5      33.6    +-
    B2     0.215     3.498     3.505     0.992     7.647     5.439     0.549      1.84    -356.1      -5.0    ++
    B2     1.153    -2.992     3.206     0.000     0.000    16.823     2.676      3.06    -260.7      90.4    ++
    B3     1.499    -2.904     3.268     1.000    34.093    16.109     2.281      3.02    -282.2      69.0    ++
    B3     1.499    -2.904     3.268     1.000    34.088    16.107     2.280      3.02    -282.2      69.0    ++
    B3     2.751    -1.668     3.218     0.999    18.836    16.365     2.809      3.03    -339.1      12.0    +-
    B3     0.455     3.432     3.462     0.994     8.800     5.855     0.649      1.92    -349.3       1.9    ++
    B3    -2.704    -1.153     2.939     0.000     0.000     6.129     0.955      1.97    -311.7      39.4    +-
    B4     2.648    -1.590     3.089     0.997    13.855     9.273     0.949      2.42    -312.8      38.4    +-
    B4    -2.513    -1.704     3.036     0.996    11.799    10.729     2.224      2.58    -311.0      40.1    +-
    B4     0.362    -3.162     3.182     0.833     1.505    13.310     1.769      2.81    -244.8     106.4    ++
    B4    -0.075     3.513     3.514     0.000     0.000     5.336     0.520      1.82    -357.2      -6.0    ++
