#REFERENCE 3 24.1631451 0.1384420
B1 0.144 0.112 0.200 0.012 147.68 1.000 3.06 0.502 3.432 1.71 1.35
B1 0.144 0.112 0.200 0.012 147.68 1.000 3.06 1.670 -2.806 3.16 -0.10
B1 0.144 0.112 0.200 0.012 147.68 1.000 3.06 -2.690 -1.156 1.63 1.44
B1 0.144 0.112 0.200 0.012 147.68 1.000 3.06 2.678 -1.802 3.06 0.00
B2 0.086 0.155 0.200 0.013 111.56 1.000 2.98 -2.596 -1.455 1.83 1.15
B2 0.086 0.155 0.200 0.013 111.56 1.000 2.98 2.578 -1.822 2.76 0.22
B2 0.086 0.155 0.200 0.013 111.56 1.000 2.98 0.215 3.498 1.64 1.34
B2 0.086 0.155 0.200 0.013 111.56 1.000 2.98 1.153 -2.992 2.98 0.00
B3 0.134 0.106 0.200 0.044 20.81 1.000 1.65 1.499 -2.904 2.95 -1.31
B3 0.134 0.106 0.200 0.044 20.81 1.000 1.65 1.499 -2.904 2.95 -1.31
B3 0.134 0.106 0.200 0.044 20.81 1.000 1.65 2.751 -1.668 2.82 -1.17
B3 0.134 0.106 0.200 0.044 20.81 1.000 1.65 0.455 3.432 1.71 -0.06
B3 0.134 0.106 0.200 0.044 20.81 1.000 1.65 -2.704 -1.153 1.65 -0.00
B4 0.021 0.167 0.200 0.045 91.47 1.000 1.62 2.648 -1.590 2.29 -0.66
B4 0.021 0.167 0.200 0.045 91.47 1.000 1.62 -2.513 -1.704 2.11 -0.49
B4 0.021 0.167 0.200 0.045 91.47 1.000 1.62 0.362 -3.162 2.76 -1.14
B4 0.021 0.167 0.200 0.045 91.47 1.000 1.62 -0.075 3.513 1.62 0.00
