chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
 0     B4 1.000   1      2.98    0.00    0.00    0.00   0.082    0.35   -0.34   -0.04  0
 0     B3 1.000   1      1.01    0.00    0.00    0.00   0.048    0.20   -0.06   -0.19  0
 0     B2 1.000   1      0.04    0.00    0.00    0.00   0.023    0.04   -0.04   -0.01  0
 0     B1 1.000   1      0.20    0.00    0.00    0.00   0.053    0.09    0.01    0.09  0
 0     B4 1.000   4      4.23    0.00    0.00    0.00   0.055    0.21    N/A     N/A   0
chimul                   4.23    0.00    0.00    0.00   0.055    0.21    N/A     N/A   0
log(Likelihood)          3.41

chitot           4.23
log(Likelihood)    3.41
