#REFERENCE 0 24.1631451 0.1384420
B1 24.1630056 0.1393955 0.880553 0.013048 166.84359 1.0000 1.35 
B1 24.1626812 0.1376624 1.642040 0.026747 25.36763 1.0000 -0.10 
B1 24.1638923 0.1381210 0.726831 0.014665 101.50848 1.0000 1.44 
B1 24.1624011 0.1379414 0.200000 0.199954 144.50130 1.0000 0.00 
B2 24.1638661 0.1380377 1.076370 0.012887 118.09479 1.0000 1.15 
B2 24.1624289 0.1379358 1.468400 0.022241 50.00089 1.0000 0.22 
B2 24.1630853 0.1394137 0.423164 0.027552 151.69207 1.0000 1.34 
B2 24.1628248 0.1376109 0.200016 0.199963 78.26397 1.0000 0.00 
B3 24.1627288 0.1376353 3.013362 0.044184 27.54516 1.0000 -1.31 
B3 24.1627288 0.1376353 3.012901 0.044184 27.54606 1.0000 -1.31 
B3 24.1623808 0.1379785 2.109263 0.055949 63.70693 1.0000 -1.17 
B3 24.1630187 0.1393952 0.865189 0.048999 178.85970 1.0000 -0.06 
B3 24.1638961 0.1381216 0.200009 0.199995 148.02041 1.0000 -0.00 
B4 24.1624094 0.1380002 1.430906 0.051571 56.92574 1.0000 -0.66 
B4 24.1638431 0.1379688 1.216901 0.051475 126.56999 1.0000 -0.49 
B4 24.1630446 0.1375637 0.615315 0.185837 13.49324 1.0000 -1.14 
B4 24.1631659 0.1394179 0.200001 0.199998 135.34415 1.0000 0.00 
