#REFERENCE 0 346.3403024 -0.0364897
B1 346.3401022 -0.0360558 0.200006 0.199994 24.71063 1.0000 0.00 
B2 346.3400479 -0.0360890 0.971157 0.022550 155.35817 1.0000 0.65 
B2 346.3399546 -0.0369225 1.065417 0.032459 34.87479 1.0000 0.16 
B2 346.3406719 -0.0365878 0.213904 0.037701 30.72102 1.0000 1.74 
B2 346.3398018 -0.0366149 0.200038 0.199993 105.60241 1.0000 -0.00 
B3 346.3398026 -0.0365824 1.221788 0.038790 80.14914 1.0000 -0.18 
B3 346.3400605 -0.0360879 0.966339 0.031691 147.65447 1.0000 0.29 
B3 346.3406770 -0.0365827 0.349345 0.033081 76.89715 1.0000 1.35 
B3 346.3399854 -0.0369486 0.200064 0.200000 40.21488 1.0000 -0.00 
B4 346.3400729 -0.0370007 0.978105 0.094220 23.24816 1.0000 -0.91 
B4 346.3401237 -0.0360732 0.937451 0.094387 163.40445 1.0000 -0.86 
B4 346.3398181 -0.0365364 0.528141 0.199540 93.03920 1.0000 -1.05 
B4 346.3406946 -0.0365731 0.200005 0.200000 79.54516 1.0000 -0.00 
