#REFERENCE 3 346.3403024 -0.0364897
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
    B1     1.250    -1.486     1.942     0.999    21.458    15.421    90.515      2.97    -211.7       0.0    ++
    B1    -1.345    -0.448     1.417     0.962     3.501     1.886     0.253      0.69    -165.6      46.1    +-
    B1     0.721     1.562     1.720     0.000     0.000     3.993     0.596      1.50    -216.3      -4.5    ++
    B2     0.916     1.442     1.709     0.999    21.522     4.800     0.816      1.70    -221.1      -9.3    ++
    B2     1.252    -1.558     1.999     0.998    16.396     8.492     7.601      2.32    -221.5      -9.8    ++
    B2    -1.330    -0.353     1.376     0.940     2.749     1.764     0.219      0.62    -160.0      51.7    +-
    B2     1.802    -0.451     1.858     0.000     0.000     7.962     2.927      2.25    -277.0     -65.3    +-
    B3     1.799    -0.334     1.830     0.998    15.733     6.824     2.197      2.09    -275.6     -63.8    +-
    B3     0.871     1.447     1.689     0.998    15.230     4.826     0.849      1.71    -215.0      -3.3    ++
    B3    -1.348    -0.335     1.389     0.982     5.233     1.825     0.229      0.65    -164.3      47.5    +-
    B3     1.141    -1.652     2.008     0.000     0.000     6.737     1.721      2.07    -213.4      -1.6    ++
    B4     0.826    -1.840     2.017     0.982     5.142     4.963     0.939      1.74    -193.2      18.5    ++
    B4     0.643     1.499     1.631     0.980     4.916     4.544     0.838      1.64    -194.8      17.0    ++
    B4     1.743    -0.168     1.751     0.750     1.134     5.123     1.296      1.77    -262.3     -50.5    +-
    B4    -1.412    -0.300     1.444     0.000     0.000     2.083     0.281      0.80    -179.6      32.1    +-
