#REFERENCE 3 29.6033091 -0.6664364
B1 -0.515 -0.515 0.200 0.036 16.42 1.000 1.87 0.380 -4.574 1.50 0.37
B1 -0.515 -0.515 0.200 0.036 16.42 1.000 1.87 2.946 -1.230 2.13 -0.26
B1 -0.515 -0.515 0.200 0.036 16.42 1.000 1.87 -3.770 0.819 -0.80 2.67
B1 -0.515 -0.515 0.200 0.036 16.42 1.000 1.87 2.959 1.579 1.87 -0.00
B2 -0.535 -0.511 0.200 0.029 164.87 1.000 2.10 0.318 -4.591 1.48 0.62
B2 -0.535 -0.511 0.200 0.029 164.87 1.000 2.10 -3.788 0.827 -0.79 2.88
B2 -0.535 -0.511 0.200 0.029 164.87 1.000 2.10 2.927 1.623 1.85 0.25
B2 -0.535 -0.511 0.200 0.029 164.87 1.000 2.10 2.929 -1.215 2.10 0.00
B3 -0.516 -0.518 0.200 0.051 116.82 1.000 1.49 2.963 1.562 1.88 -0.39
B3 -0.516 -0.518 0.200 0.051 116.82 1.000 1.49 2.952 -1.209 2.13 -0.64
B3 -0.516 -0.518 0.200 0.051 116.82 1.000 1.49 -3.769 0.819 -0.80 2.30
B3 -0.516 -0.518 0.200 0.051 116.82 1.000 1.49 0.375 -4.579 1.49 0.00
