#REFERENCE 3 29.6033091 -0.6664364
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
    B1     0.380    -4.574     4.590     0.996    10.758     1.617     0.767      0.52   -1812.2       0.0    ++
    B1     2.946    -1.230     3.192     0.987     6.128     1.713     2.130      0.58   -2378.1    -565.9    +-
    B1    -3.770     0.819     3.858     0.972     4.121     1.935    20.737      0.72    -347.1    1465.1    +-
    B1     2.959     1.579     3.354     0.000     0.000     2.019     1.239      0.76   -1885.8     -73.5    ++
    B2     0.318    -4.591     4.602     0.992     8.028     1.600     0.748      0.51   -1789.6      22.6    ++
    B2    -3.788     0.827     3.877     0.990     7.008     2.068    28.321      0.79    -359.6    1452.6    +-
    B2     2.927     1.623     3.347     0.986     5.996     1.987     1.212      0.75   -1862.3     -50.1    ++
    B2     2.929    -1.215     3.171     0.000     0.000     1.686     2.055      0.57   -2364.8    -552.6    +-
    B3     2.963     1.562     3.350     0.996    10.843     2.034     1.260      0.77   -1889.3     -77.1    ++
    B3     2.952    -1.209     3.190     0.993     8.330     1.730     2.147      0.60   -2377.2    -565.0    +-
    B3    -3.769     0.819     3.857     0.938     2.713    19.557  2497.691      3.23    -346.5    1465.8    +-
    B3     0.375    -4.579     4.595     0.000     0.000     1.615     0.763      0.52   -1812.2      -0.0    ++
