#REFERENCE 0 346.3403024 -0.0364897
B1 346.3398048 -0.0365950 1.066065 0.055086 88.27172 1.0000 -0.42 
B1 346.3399939 -0.0369620 0.918083 0.060522 43.07838 1.0000 -0.36 
B1 346.3406564 -0.0366015 0.277233 0.056619 117.68475 1.0000 1.02 
B1 346.3401022 -0.0360558 0.200005 0.199994 26.78722 1.0000 0.00 
B2 346.3400870 -0.0360572 0.730777 0.033108 160.87865 1.0000 0.55 
B2 346.3406504 -0.0366037 0.207064 0.043999 29.60704 1.0000 1.61 
B2 346.3398018 -0.0366149 0.200008 0.199973 21.47017 1.0000 0.00 
B3 346.3398103 -0.0366271 0.833997 0.048952 71.86626 1.0000 -0.02 
B3 346.3401112 -0.0360469 0.634206 0.039091 150.38076 1.0000 0.52 
B3 346.3406553 -0.0366103 0.278257 0.036844 78.48398 1.0000 1.48 
B3 346.3399854 -0.0369486 0.200025 0.199992 68.55267 1.0000 -0.00 
