#REFERENCE 3 346.3403024 -0.0364897
B1 0.253 -0.161 0.200 0.053 68.06 1.000 1.44 1.791 -0.379 1.86 -0.42
B1 0.253 -0.161 0.200 0.053 68.06 1.000 1.44 1.110 -1.700 1.80 -0.36
B1 0.253 -0.161 0.200 0.053 68.06 1.000 1.44 -1.274 -0.403 0.43 1.02
B1 0.253 -0.161 0.200 0.053 68.06 1.000 1.44 0.721 1.562 1.44 0.00
B2 0.272 -0.151 0.200 0.032 173.09 1.000 1.99 0.776 1.557 1.45 0.55
B2 0.272 -0.151 0.200 0.032 173.09 1.000 1.99 -1.253 -0.410 0.39 1.61
B2 0.272 -0.151 0.200 0.032 173.09 1.000 1.99 1.802 -0.451 1.99 0.00
B3 0.248 -0.140 0.200 0.034 128.84 1.000 1.92 1.772 -0.495 1.94 -0.02
B3 0.248 -0.140 0.200 0.034 128.84 1.000 1.92 0.688 1.594 1.40 0.52
B3 0.248 -0.140 0.200 0.034 128.84 1.000 1.92 -1.271 -0.434 0.44 1.48
B3 0.248 -0.140 0.200 0.034 128.84 1.000 1.92 1.141 -1.652 1.92 -0.00
