#REFERENCE 3 346.3403024 -0.0364897
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
    B1     1.791    -0.379     1.831     0.995     9.651     3.879     1.918      1.47    -287.5       0.0    +-
    B1     1.110    -1.700     2.031     0.991     7.552     4.494     1.144      1.63    -202.6      84.9    ++
    B1    -1.274    -0.403     1.336     0.920     2.346     1.214     0.275      0.21    -159.6     127.9    +-
    B1     0.721     1.562     1.720     0.000     0.000     3.108     0.737      1.23    -209.8      77.6    ++
    B2     0.776     1.557     1.740     0.996    11.013     3.133     0.729      1.24    -216.4      71.0    ++
    B2    -1.253    -0.410     1.318     0.914     2.247     1.172     0.262      0.17    -154.2     133.2    +-
    B2     1.802    -0.451     1.858     0.000     0.000     4.369     2.371      1.60    -290.0      -2.5    +-
    B3     1.772    -0.495     1.839     0.993     8.489     4.197     2.132      1.56    -282.2       5.3    +-
    B3     0.688     1.594     1.736     0.992     8.081     2.984     0.679      1.19    -211.7      75.8    ++
    B3    -1.271    -0.434     1.343     0.966     3.710     1.217     0.282      0.21    -159.3     128.2    +-
    B3     1.141    -1.652     2.008     0.000     0.000     5.020     1.447      1.75    -201.8      85.7    ++
